idCivicActivity,CivicActivity
1,outdoors
2,government
3,children
4,seniors
5,special needs
6,healthcare
7,animal welfare
8,child welfare
9,library
10,literacy
11,computer skills
12,environment
13,climate change
14,community development
15,mentoring
16,technology
17,community gardening
18,legal services
19,prisoner outreach
20,veterans
21,faith-based
22,homeless shelter
23,food bank
24,immigrant services
25,women's shelter
26,refugee services
27,hospice
28,cancer
29,fitness
30,technology